rx_timestamp_us,prb_start_idx,nof_prb,N_x_id,mcs_idx,rv_idx,sf_idx
549023000,22,8,33058,27,1,3
1646935000,42,8,42274,20,1,5
2500152000,32,8,48461,27,1,2
5902728000,32,8,26876,25,1,8
6936607000,32,8,62245,28,1,7
9914425000,42,8,57860,10,1,5
11956119000,32,8,62519,20,1,9
12332869000,22,8,55204,27,1,9
14873024000,32,8,3906,24,1,4
15474871000,32,8,704,20,1,1
15537608000,22,8,22769,19,1,8
17298982000,12,8,19481,27,1,2
19195449000,42,8,59114,28,1,9
20113930000,42,18,57508,10,1,0
23733187000,42,8,55490,20,1,7
23810280000,32,8,25444,10,1,0
26568675000,12,18,14911,10,1,5
27586790000,22,8,56431,28,1,0
27596396000,32,8,34116,27,1,6
27686081000,22,8,1821,27,1,1
31464745000,22,8,9609,18,1,5
40503668000,32,8,36133,28,1,8
44592699000,22,8,5381,28,1,9
46104776000,12,8,32524,10,1,6
50922665000,42,8,50768,20,1,5
54817049000,22,8,38701,18,1,9
56079767000,32,27,10513,10,1,7
56682379000,32,18,327,10,1,9
57955608000,22,8,58973,20,1,8
60750543000,22,18,36357,10,1,3
63723413000,12,8,10730,27,1,3
67018159000,42,8,767,10,1,9
69794785000,32,8,13004,27,1,5
75630108000,42,8,44313,10,1,8
78288450000,22,8,41708,10,1,0
78556969000,42,8,48993,20,1,9
84500085000,22,18,50190,17,1,5
